label	tweet
n	RT @name: Der @name bringt gerade eine erschreckende ehrliche Sendung über die Bedrohung der Juden durch den militanten Islam in Frankreich.
n	RT @name: Der @name kündigt für morgen eine Sendung über islamischen Antisemitismus in Deutschland an (hört, hört!) und hat als »Expertin« Lamya Kaddor eingeladen (ach, vergessen Sie es einfach!).
n	"RT @name: Der eindrucksvollste Anti-Israel-Aufmarsch von heute ist in #Flensburg: Dort rennen Araber gleich mit #Taliban-Flaggen herum!
#Irrenhaus http://"
n	"RT @name: Der Link: Lest es, hört es, gebt es weiter. Der DLF beschreibt die Bedrohung der Juden in Frankreich durch den militanten Islam. Solche Zustände müssen wir hier und überall verhindern.

http://"
n	RT @name: Der Mann, der zu viel wusste: Mysteriöse Blitzabschiebung: Amris Helfer wurde außer Landes gebracht statt verhört. Überraschung. http://
n	RT @name: Der muslimische Antisemitismus - (Gastautor) Von Anabel Schunke. Die antisemitischen Ausschreitungen dieser Tage werden vielfach als Reaktion auf Trumps Jerusalem-Entscheidung präsentiert, sie haben aber damit nicht das geringste zu tun. Dies ist ein ... http://
n	"RT @name: Der niederländische Rechtspopulist Geert Wilders fordert ein Ende der #EU. In Prag trifft sich die rechtspopulistische EU-Parlamentsfraktion ""Europa der Nationen und der Freiheit"". http://"
n	RT @name: Der Preis von Multikulti. http://
n	"RT @name: Der Tatort - politisch korrekte Volkserziehung. Ähnlichkeiten zu überwunden geglaubten Medienssystemen sind zufällig und nicht beabsichtig.

http://"
n	RT @name: Der Tweet von Stegner altert nicht gut. http://
n	RT @name: Der Umgang mit seinem Volk und dem Terror. Links: Der Polnische Präsident kniet vor dem Sarg des LKW Fahrers vom Breitscheidplatz Lukasz Urban. Rechts: Die für das Berliner Attentat verantwortliche Angela Merkel macht fröhlich Selfies bei ihrem Besuch am Breitscheidplatz http://
n	"RT @name: Der vom Bezirksamt #Neukölln ignorierte und tolerierte #Jugendwiderstand macht international Schlagzeilen. Wie lange will #Giffey dem Treiben noch zuschauen?

#bvvnk #Antisemitismus #Linksextremismus #Islamisierung http://"
n	RT @name: Der WDR berichtet über die nationale Streife in Olpe (+Video) http://
n	RT @name: Der westliche Kunstkanon ist voller sexualisierter Darstellungen. Bis vor Kurzem hat das niemanden gestört. Jetzt könnte aus #MeToo Zensur werden. http://
n	RT @name: Derweil die #Mohammedaner in #Palästina wg. #Jerusalem Amok laufen, wird in #Syrien der erste #Weihnachtsbaum in #Aleppo illuminiert im Shahba Hotel http:// ein christliches Symbol in der von #Islam|isten befreiten Stadt. #AfD
n	RT @name: Deswegen wohl ist auch hier eine heftige Preiserhöhung aller Freuden des Weihnachtsmarktes zu erfahren, ob Glühwein, Baguette, Würstchen - egal was, alles deutlich teurer als letztes Jahr! Vielleicht sollten in Zukunft nur noch Syrer am Bratwurstrost stehen?! Schweinefleisch???? http://
n	"RT @name: Deutsche Behörden stufen mehrere Dutzend Frauen und Jugendliche als islamistische Gefährder ein

http://"
n	RT @name: Deutsche Kultur in der Weihnachtszeit heißt, 20 mal am Tag Last Christmas hören zu müssen.
n	RT @name: Deutschland braucht endlich einen totalen Zuwanderungsstopp und Massenabschiebungen von kriminellen,... http://
n	"RT @name: Deutschland ist ein reiches Land.
#Merkel #felidwgugl
http://"
n	"RT @name: Deutschland ist ein Unrechtsstaat und ein Paradies für kriminelle Migranten.
http://"
n	"RT @name: Deutschland verhaftet Palästinenser wegen der Unterstützung des ""Islamischen Staats""
http://"
p	RT @name: Die #Bundeskloake zeigt was sie kann. http://
n	"RT @name: Die #CSU sucht ihr #Rückgrat. Wer es findet - es ist dünn, extrem biegsam und bietet keinen Halt - möge es im nächsten Panoptikum abgeben:
http://"
n	"RT @name: Die #EU Außenbeauftragte Mogherini schließt es aus, #Jerusalem als Hauptstadt Israels anzuerkennen. Sie hofft #Inshallah (arabisch für ""so Gott will"") auf eine andere Lösung. Wie neutral ist die Dame? 🧐 http://"
n	RT @name: Die #Hamburger Polizei startet am Montag eine Fahndung mit mehr als 100 Fotos von #G20-Gewalttätern, die bisher nicht identifiziert werden konnten. Es ist die größte Öffentlichkeitsfahndung seit Jahren. Termin merken: Check! http://
n	"RT @name: Die Deutsche Post hat mit ihrem Zustellbereich DHL 2016 einen Gewinn gemacht von 3.500.000.000,00€!!!
Es liegt nicht an den Leuten, die sich im Internet Waren bestellen, dass Zusteller beschissen bezahlt werden.
Es liegt an deren Arbeitgeber! Es liegt an deren Arbeitgeber!"
n	"RT @name: Die ersten Grünen wachen auf...
„Wir überlassen es der AfD, solche Missstände zu thematisieren und wundern uns, dass sie immer mehr Stimmen bekommen.“ http://"
n	"RT @name: Die etabl.Parteien reden sich die Wahlergebnisse echt schön, wenn ich immer höre:"" Die #AfD wurde nur aus Protest gewählt"",dann ist das wirkl.sehr Naiv und Dumm!Nein,sie wurde gewählt weil es die erste Partei ist die Probleme schonungslos anspricht, ohne dumme polit.Korrektheit!"
n	RT @name: Die Flüchtlingskosten sind ein deutsches Tabuthema http:// via @name
n	"RT @name: Die Frau kann nichts mehr anderes denken als
#Flüchtlinge
#Flüchtlinge
#Flüchtlinge
#Flüchtlinge
#Flüchtlinge
....
Man könnte meinen #Merkel ist hochgradig gestört, innerhalb der #CDU fällt es nur nicht besonders auf 👎 http://"
n	"RT @name: Die Freiheit des Menschen liegt nicht darin, dass er tun kann, was er will, sondern, dass er nicht tun muss, was er nicht will.

Jean-Jacques Rousseau"
n	"RT @name: Die Grünen sind empört über einen Wasserwerfereinsatz?
Zur Erinnerung: Demokratiegegner haben versucht einen Parteitag einer demokratischen Partei zu verhindern.
Ich bin empört über das Demokratieverständnis der Grünen!
#Gruene #AfD #AfDBpt

http://"
n	"RT @name: Die Hamburger Polizei startet am Montag eine Fahndung mit mehr als 100 Fotos und Videosequenzen von mutmaßlichen G20-Gewalttätern, die bisher nicht identifiziert werden konnten. Es ist die größte Öffentlichkeitsfahndung seit Jahren.

http:// @name"
n	"RT @name: Die Nannymedien sprechen von einer ""friedlichen Stimmung"" bei der Demo. Ich habe das anders erlebt http:// #Israel #Berlin #Antisemitismus"
n	RT @name: Die Ossis sind die Deutschen mit dem besseren Durchblick. Die Wessis gucken ARD, lesen Spiegel u Zeit und glauben den Spuck. http://
n	RT @name: Die Realität, daß Muslime nicht in unsere Kultur passen, sollte auch hier wieder mal vertuschet werden.Unglaublich, es in in unserem Land passiert.  Der Islm gehört nicht zu Deutschlnd #Remigration #AfD http://
n	RT @name: Die Rechtsordnung einer Zivilisation ist nicht darauf ausgelegt und deshalb nicht fähig, mit Barbaren fertigzuwerden. Wir müssen also entweder unsere Rechtsordnung barbarisieren – zu Körper- / Todesstrafe zurückkehren – oder uns mit festen Grenzen von den Barbaren segregieren.
n	"RT @name: Die Redaktion möchte an dieser Stelle vorwegnehmen, dass es sich bei diesem Beitrag nicht um Satire handelt – selbst wenn dies augenscheinlich der Fall sein müsste.

Kein Witz! Statt einer Prämie bekommt jeder Berliner Polizisten zu Weihnachten einen Keks
http://"
n	RT @name: Die Sicherheitsbehörden in Deutschland stufen mehrere Dutzend Frauen und Jugendliche als islamistische Gefährder ein - und trauen ihnen damit potentiell einen Terrorakt zu. http://
n	"RT @name: Die Tatsache, dass es ""geheime Flüchtlingszahlen"" gibt, sollte etwas über den Geisteszustand der dafür  Verantwortlichen verraten. Sowas gibt es nur in Diktaturen. http://"
p	RT @name: Die Todesstrafe bitte lieber Weihnachtsmann. http://
n	"RT @name: Die Typen sind nur untergetaucht, es gibt sie immernoch und vermutlich noch mehr als 2012.
Denkt stets daran! http://"
n	RT @name: Die Unfähigkeit und Gesetzlosigkeit der #Merkel Regierung führt bis heute zum Zerfall jeder Sicherheit für die Bürger in #Deutschland. http://
n	RT @name: Die Unterdrückung der Frau als Modetrend. Ich glaube, mir wird schlecht. http:// via @news
n	"RT @name: Die Visegrad-Staaten werden als ""Spalter der EU"" bezeichnet, dabei liegt die Wurzel allen Übels in Deutschland mit seinem Hegemonieanspruch. Das Herumgeeiere um die Koalitionen der Verlierer ist die innerstaatliche Quittung.
#Merkel #Merkelmussweg
http://"
n	"RT @name: Die Vorstellung, alle unsere ""Kulturschaffenden"" reden so hohlbirnig und profitieren doch von den Segnungen der Künstlersozialkasse, finde ich ganz schön gruselig http://"
n	"RT @name: Die Vorstellung, dass im #Deutschland des Jahres 2017 nur ""Kulturschaffende"" wie #KatjaRiemann leben, ist für mich unerträglich. #AusGruenden"
n	"RT @name: Die öffentlich rechtlichen Medien zeichnen ein Bild von Syrien, das nicht zutrifft. Ein junger Mann aus Norwegen hat daher im Oktober Urlaub gemacht

http://"
n	"RT @name: Diejenigen, die auf dieser Grundlage ""hatespeech"" melden, können sicherlich alle die teils komplexen Rechtsfragen richtig einschätzen. Und über die Löschung werden bei Twitter ganz sicher auch nur Top-Juristen entscheiden. Da kann eigentlich nichts ""schief gehen"".  #SarkasmusOff http://"
n	RT @name: Diese #Karikatur bringt die #Politik #Merkel auf den Punkt 😂 http://
n	RT @name: Diese Abschiebungen gut Integrierter haben System. Wir sollen Abschiebungen generell als etwas Entsetzliches ansehen und uns als Zivilgesellschaft für das Bleiberecht Aller einsetzen. http://
n	"RT @name: Diese Begegnung eines ""Studenten"" aus Kamerun mit einer Rentnerin, sollte die @name senden: Als Weckruf!
http:// #Nürnberg http://"
n	RT @name: Diese Bundesregierung ist eine Kriegserklärung an die Bundesländer. Bin gespannt wie sich das im Germteig der ÖVP entwickelt.
n	RT @name: Diese Frau scheint ein Hohlgeschoß zu sein. Jeder mag Amis, Briten, Franzosen, Chinesen, Italiener usw. in Deutschland haben. Jedoch keiner will kriminelle Moslems hier haben. Der Islam ist keine Religion und er gehört nicht zu Deutschland. http://
n	"RT @name: Diese Meinung teilen viele Bayern 👍
#Seehofer wird uns in #Berlin verkaufen, der hängt doch inzwischen wie ein Zeck am Rockzipfel von #Merkel 👎
#Söder soll den Harten markieren und Wähler einfangen 🙈
Nur noch #AFD, der #CSU kann man nicht mehr trauen! http://"
n	RT @name: Diesel-Verteufelung: Krieg gegen das eigene Volk Diesel: Wie der RBB das Volk hinter die Fichte führt http://
n	RT @name: Dieser Account läuft übrigens Weihnachten, in den Feiertagen und auch Silvester mit den aktuellen Ereignissen durchgehend. Wir sorgen dafür, dass ihr nichts verpasst und zeitnahe Up-to-Date bleibt, sofern mediale Informationen vorhanden sind.
n	"RT @name: Dieser Richter gehört seines Amtes enthoben,
Das ist kriminell.
Wollen wir hoffen, dass die Staatsanwaltschaft in Revidion geht. http://"
n	RT @name: Dieses Klima herrscht an vielen Orten, dank auch der Unterstützung von Medien wie dem Spiegel. http://
n	"RT @name: Doku über Islamisten-Szene und ihre Netzwerke in Europa: ""Mancherorts schließen sich junge Islamisten in Gangs zusammen, um ganze Stadtviertel zu kontrollieren, wie beispielsweise im dänischen Kopenhagen.""
http://"
n	RT @name: Donald #Trump verbietet der Gesundheitsbehörde sieben Wörter. Darunter „Transgender“ und „Diversität“. http://
n	RT @name: Dortmund - Viele Hannibal-Bewohner verbringen Weihnachten in fremden Wohnungen http://
n	RT @name: Dr. Alexander Gauland (AfD) stellte im Bundestag klar, wie es um die Migrationskrise bestellt ist. Die Krise... http://
n	"RT @name: Dunkelhäutige onanieren vor Schülerinnen in Bus und Bahn
http://
via http://"
n	RT @name: Dunkelhäutiger Unterhosenmann geht plötzlich auf Rentnerin los, schlägt und tritt sie fast zu Tode http://
n	RT @name: Durch die weitgehend ungeschützten EU-Außengrenzen kommt es „immer noch zu vielen tausend unberechtigten... http://
n	RT @name: Düsseldorf - Düsseldorf: SEK sprengt Hells Angels-Weihnachtsfeier http://
n	"RT @name: Eben hier auf Twitter über einen Schulfreund gestolpert. Ewig nicht gesehen. Früher: ich links, er erzkonservativ
Er heute: Refugees welcome, danke Antifa, Pronomen he/she, trägt Glitzershirts, schminkt sich, ein Klischee nach dem anderen.
Mein momentaner Status: 🤯"
n	RT @name: Eben, genau deswegen stimme ich ja so stark zu! Die Aktion jener Dame ist inakzeptabel völlig inakzeptabel! Ein weiterer Kniefall vor den aggressiven Invasoren! Deswegen habe ich sie auch entfolgt, nachdem ich diese wunderliche Entscheidung schon kritisch beäugt hatte. http://
n	RT @name: Echt ein #Blitzmerker, der #Lindner: Jetzt muss er noch begreifen, das sein #NRW auch dem Dümmsten vor Augen führt, wie schlimm der multikulturelle #Amoklauf der #Altparteien ist. http://
p	RT @name: Ein Schimmer Hoffnung, endlich tut sich was, auch in Österreich, vielleicht wachen doch noch ein paar Köter auf ! http://
n	RT @name: Ein schönes Wochenende und einen objektiven Bericht von youWatch über die Nachbarschaftshilfe „Soldiers of Odin Germany“ http:// @name ,@name ,@name ,@name ,@name
n	RT @name: Eine #BER -Eröffnung im Herbst 2020 halten viele für einen Wunschtermin. Im Gegensatz zu früheren Ankündigungen der #FBB wurden diesmal aber Absprachen mit den am Flughafen tätigen Unternehmen getroffen. http://
n	RT @name: Eine Bekannte war grad hier, erzählte, dem Enkel ihrer Schwägerin, 14 Jahre alt, wurden auf dem Weg zur Bushaltestelle von hinten die Beine wegtreten. Am Boden liegend wurde er von zwei Ausländern fertig gemacht. Mehr erfahre ich noch.
n	"RT @name: Eine echte Neuerung wäre, nicht nur die Einschalt-Quoten zu messen, sondern auch die Wegzapp-Quoten.
http://"
n	"RT @name: Eine ganz gute Bilanz zum Thema SPD und Nahostkonflikt in der FAZ:
http://
Darum glaube ich Gabriel u Steinmeier kein Wort, wenn sie sich über antisemitische Parolen ""empören"". Sie haben selbst Öl ins Feuer gegossen."
n	RT @name: Einen gewissen Prozentsatz an Halbgebildeten und Lernunwilligen hält auch eine Gesellschaft wie die deutsche aus. Aber 20 Prozent eines Jahrgangs? Das überfordert den besten Sozialstaat. http://
n	"RT @name: Endlich: Die FemNazis von #MeToo gehen jetzt auch gegen ""sexistische Kunst"" in Museen vor!
Wie im Mittelalter, als man Penise von antiken Statuen abschlug. http://"
n	RT @name: Erdogan fürchtet Verlust von Mekka und Medina nach Trumps Jerusalem-Beschluss - Sputnik Deutschland / http://
n	"RT @name: Erfreulich, wie schnell und problelos die Österreicher die Koalitionsverhandlungen geführt und abgeschlossen hatten.
Erstaunlich nur, dass beim #Bundespraesident, dieser von #Europa, @name von Frauen und @name vom wunderbaren 🇦🇹sprach! 🤔
http://"
p	RT @name: Erschütternd. Schauen Sie sich das Video an. Sie haben aus Deutschland ein beschissenes Dreckloch gemacht, in dem Ihre Stammwählerschaft zusammengetreten wird, während Sie sich die Diäten hochschrauben und in elitären Saufrunden Demokratie spielen. @CDU @spdde http://
n	RT @name: Erst sperrt mich Facebook, nun werden alle meine pro Israelischen Kommentare gemeldet und gelöscht. Der Islamistenmob tobt sich aus und ich kann mich bei Facebook nicht mal wehren.
n	"RT @name: Erziehungsfernsehen. Und alle glotzen trotzdem. Muss man nicht verstehen.
http://"
n	RT @name: Es gibt kein Benzin mehr🤯😜 http://
n	RT @name: Es ist interessant zu sehen, wie viele Muslime in Deutschland gegen eine Botschaftsverlegung in Israel auf die Straße gehen, und wie wenig gegen Terroranschläge im Namen ihrer Religion. #Islam
n	RT @name: Es ist überfällig, dass diese #EU durch die souveränen Nationalstaaten in ihre politischen & wirtschaftlichen Schranken gewiesen wird @news ! Oder eben komplett zerschlangen und neu formiert auf EG Grundlagen. http://
n	RT @name: EU-Kritiker aus ganz Europa forderten heute bei einem Treffen in Prag ein Ende der EU in der jetzigen Form. „Ich... http://
n	RT @name: Europ.Männer haben bisher vollkommen versagt wenn es um den Schutz der europ.Frauen geht!Viele Männer sind einer völlig entarteten #Toleranz verfallen,haben jegl. Schneid verloren!Da vergreifen sich in Köln tausende #Migranten an Frauen,und man wählt weiter etabl.Parteien!#AfD
n	RT @name: Europa wird den globalen Kampf ums technische Wissen verlieren http:// via @name
n	RT @name: Europa? Eine zu große Idee für die derzeitig vor sich hinmurksenden Politiker, die Europa schwere Verletzungen zugefügt haben und behaupten, es jetzt heilen zu wollen, so @name http://
n	RT @name: Europas Rechtspopulisten fordern Ende der EU - http:// über http://
n	"RT @name: Europäische Union ""geht auf Reisende los""?! http://"
n	"RT @name: Facebook und Co verhindern die Verbreitung dieses Videos durch groß angelegte Löschungsaktionen- aber wir sind hier und wir sind viele!

Teilen, sichern, wieder teilen! Auch auf die Gefahr einer Sperre hin. Einer geht-einer kommt. 🤝 http://"
n	RT @name: Fahrkartenkontrolleurin gesteinigt: Asylbewerber zweimal am selben Tag festgenommen und wieder auf freien Fuß... http://
n	RT @name: Falls sich die #Armbändchen der #Reker als der Burner erweisen, könnten wir die Personenschützer der #Politiker abschaffen und sie mit Bändchen ausrüsten - spart Geld und gibt den Politikern mehr Bewegungsfreiheit
n	RT @name: Fand die PK heute zwecks Symbolik am Kahlenberg statt? Wär lässig! @name  @name
n	RT @name: FDP-Chef stellt sich gegen Merkel - Länder verweigern Flüchtlingsaufnahme: Lindner warnt vor Überforderung Osteuropas http://
n	RT @name: Feminismus ist wie Kommunismus: Schreckliches Ergebnis, obwohl es am Anfang wirklich gute und wichtige Ansätze gab! http://
n	RT @name: Flüchtlingsverteilung: Berliner CDU will Wohnsitzpflicht verlängern http:// via @news
n	"RT @name: Focus: AfD will die Anerkennung Jerusalems als israelische Hauptstadt fordern
http://"
n	RT @name: Folgt -> @name
n	"RT @name: Frauen brauchen keine Prediger die sie ""unsere Perlen/Juwelen/Schätze"" nennen. Nennt sie Menschen und ""euch"" gehören sie auch nicht."
n	RT @name: Frauenbadetag in Hannover: Moslems vermüllen Schwimmbad – #feDidwgugl #Goldstücke #Facharbeiter  http://
n	"RT @name: Freitags, um die Mittagszeit herum, ist immer eine gute Gelegenheit, Solidarität mit Jerusalem vor den Moscheen in der Republik zu zeigen, und auch zu zeigen, dass die Gefahr nicht von der #AfD ausgeht sondern von den Regierenden und den Grünen und Linken.
>>>>"
n	RT @name: Freut mich für euch! http://
n	"RT @name: Für 2032 hat eine Abrissbirne ihre Bereitschaft bekundet.

(Es werden Zeiten hereinbrechen, wo man sich D. Trump samt verendetem Opossum am Haupt als Präsident zurückwünscht) http://"
n	RT @name: Für alle, die das noch nicht in der Timeline hatten. Wird offenbar auch unter Genossen gern geteilt. #SPDerneuernistnichtsoeinfach #grokoauchnicht http://
n	RT @name: Ganz einfach - Diese Kriminellen müssen dauerhaft bis zum Verlassen des Landes eingesperrt werden! http://
n	RT @name: Georgische Einbrecher nennen sich «Diebe im Gesetz» und gehen in der Schweiz auf Beutezug. Neu ist, dass sie sich in Asylzentren einnisten. http:// via @name
p	RT @name: Gestern war nicht etwa Weihnachtsfeier im Kollegium. Die grüne Schulleitung lud ein zum „Abendlichen Beisammensein zum Jahresausklang“.  (Wir haben einen einzigen türkischen Kollegen von 86.) Ohne mich! #BanIslam
n	RT @name: Glückliches Österreich! Deutschland profitiert von seiner Politik, kritisiert sie gleichzeitig als Abschottung und Rechtsruck. An Heuchelei nicht zu überbieten! http://
n	RT @name: Glückwunsch #felixAustria! Ihr seid zu beneiden. Eine Regierung der Vernunft! #fpoe #Strache #Kurz http://
n	RT @name: Gratulation an ganz Österreich! Das ist die Chance für neue Wege. National, konservativ, bürgerlich, wirtschaftsliberal.  http://
n	RT @name: Großartige erste Rede von Jürgen Pohl AFD: Lachen Sie, Ihre Wähler schau... http:// via @name
n	"RT @name: Grüner Stadtrat sieht rot: ""Ich habe den Eindruck, dass wir uns eine heile Welt zusammengebastelt haben, in der derjenige zum Bösen gestempelt wird, der versucht, seinen Mitmenschen die Scheuklappen von den Augen zu reißen""
http://"
n	RT @name: Gut gebrüllt @name! Steuern sinken um zwei Prozent in #Illnau_Effrettikon. http://
n	RT @name: Gute Nachrichten  aus Bayern : Seehofer bleibt für 2 weitere Jahre Parteivorsitzender. Also auch in der CSU keine Aussicht auf Korrektur. Das gibt Stimmenzuwachs für die AfD bei der Landtagswahl 2018 !
n	"RT @name: Gute Nachrichten aus #Niedersachsen
Gespräche mit Islamverbänden wie #Ditib sollen weitergehen.
#Erdogan klatscht sicher schon erfreut die Hände.
#bunt
http://"
n	RT @name: Guten Morgen,Herr U-Bahntreter.Wie ist es so im Bau unter Leuten,die einem körperlich überlegen sind?Wünsche einen entspannten 2. Advent.
n	"RT @name: Haarefärben und Picknick im Becken: Frauenbadetag sorgt für Ärger in Hannover! Wo liegt das Problem? Wer sich nicht an die Baderegeln hält bekommt Hausverbot & gut! Mit dieser Gutmenschenpolitik macht sich 🇩🇪 immer mehr zum Affen!
@name http://"
n	"RT @name: Haben #SPD & #Linke eigentlich jemals was davon gehört, dass Parlamentarier ihrem Gewissen unterworfen sind und nicht parteipolitischem Geplänkel?
Es ist völlig normal, dass #CDU-Abgeordnete einem #AfD-Antrag zustimmen, wenn sie ihn für vernünftig halten!
http://"
n	RT @name: Hallo Frau #Merkel, Herr @HeikoMaas, Herr @Ralf_Stegner und alle Freunde der ungezügelten Zuwanderung. Hier schlägt ein Kameruner eine 72jährige auf offener Straße halbtot. Wo ist jetzt Ihr Entsetzen? Wo ist Ihr #Aufschrei? Hallo @news und @news? @name? http://
n	"RT @name: Hat man Sie eigentlich gefragt, ob Sie pro Jahr 200.000+ islamische #Migranten mehr in Deutschland haben wollen? Nein?

Nun, das ist dann der Unterschied zwischen einer #Demokratie und einer Scheindemokratie.

Darum #AfD!"
n	RT @name: Herr Schulz ,haben Sie etwa Deutschand gefragt? Nein haben Sie nicht und damit Sie es wissen ,Deutschland sind die 83 Millionen Menschen und nicht Sie ,die Regierung und Parteien.Wer gegen den Willen des Volkes handelt ,macht sich strafbar -Grundgesetz ,Herr Schulz http://
n	"RT @name: Herzlichen Glückwunsch an die #FPÖ!

http://"
n	RT @name: Herzlichen Glückwunsch der #AfD in #Bayern. Mit der Wiederwahl von Horst #Seehofer ist der Einzug der AfD in den Bayrischen Landtag 2018 als zweitstärkste Fraktion endgültig gesichert. #Bayern bekommt eine starke #Opposition #SPD arbeitet am Projekt <15% + #Grüneversenken http://
n	"RT @name: heute ist das ""normal"" oder ""Einzelfall"" vor 3 Jahren wäre das bei Aktenzeichen XY mit Großfahndung ausgeschrieben! http://"
n	"RT @name: Heute wurden Weihnachtsmärkte in #Berlin und #Frankfurt wegen verdächtiger Gegenstände evakuiert.
http://
http://"
n	RT @name: Heute zum #Gottesdienst in der #Kirche gewesen. Und festgestellt, dass ich doch mehr der #Atheist bin.
n	RT @name: Holen Sie sich die Schweizer Sicht mit der «NZZ Perspektive», dem neuen Deutschland-Abo der «Neuen Zürcher Zeitung». http://
n	"RT @name: http://

#Berlin: Man längst den Überblick verloren, darüber, wer da wieder und warum messert."
n	RT @name: http://  👇🏻.. NICHT mehr ganz Dicht! Keiner von den Ländern u.Völker !MUSS! Irgendwas,-von irgend wem?? Zwang,Willkür,Bevormundung!! NEIN-So läuft DAS nicht! Ihr wollt Viele u.andere „Menschen“ ..So geht dort hin Wo SIE sind! Aber lasst Uns alle in Ruhe! http://
n	RT @name: http:// #Einheit Europas nennt #Viktor Orban die neue Konstellation,alle gegen Merkel! Das Ende deutscher Illusionen?
n	RT @name: http:// #Einzelfall: Tobender Somalier,mehrere Straftaten an einem Tag!
hs	RT @name: http:// #IS Linda: Ihr dreckigen Hunde,es werden noch viel mehr Anschläge kommen! #Reue? Der Irak sagt etwas anderes!
n	RT @name: http:// #Putin katapultiert die #USA in Nahost aus dem Spiel!
n	RT @name: http:// #Putin: Chemtrails sind real und eine monumentale Bedrohung!
n	RT @name: http:// Am 25.09.2001 hielt #Putin seine erste Rede auf  Deutsch. Er reichte seine Hand,auf die immer wieder gespuckt wurde!
n	RT @name: http:// Grüne: Hunde sind ein größeres Problem als Illegale Bettelbanden! 9% haben diese Irren gewählt? Wunderbar!
n	RT @name: http:// Leute 😅 Der Song ist von 1983👈 und aktueller denn je! #Besuchen Sie Europa,solange es noch steht!
n	RT @name: http:// Nanu? #Tagesguck Kommentatorin fordert #Polen und Ungarn zum EU Austritt auf!😲
n	RT @name: http:// via @name 👁der III.Weltkrieg kommt ,bemerkt ihr .....👁
n	RT @name: http:// Wer hat #Trump das erlaubt? Telefonat mit #Putin sorgt in der USA für Aufregung!😅 😅
n	RT @name: http:// ❗️#AfD ....Bin dabei! 👇🏻 http://
n	RT @name: http:// ❗️1 Regierung die eh keine ist u.außerdem NICHT im Interesse d.eigenen VOLKES handelt,denkt u.es schützt hat sein RECHT als #Regierung bezeichnet zu werden gänzlich verwirk❗️ist  weder Wahlberechtigt, Ernst noch für Voll zu nehmen! ..schleunigst WEG! http://
n	RT @name: http:// ❗️👇🏻hierzu sag ich Jetzt besser nix weiter! ...nur eines ....ZAHLTAG! 👇🏻 http://
n	RT @name: http:// 🆘diese-meine Worte richten sich an den mutigen u.Rückgrat-Besitzenden #Richter Stephan Zantke :SIE sind Wunderbar🌹,evntl.werden andere d.selbigen Amtes auch wach,u.gehen 1 Schritt-dringend erforderlichen Schritt weiter,denn #MERKEL muss Jetzt weg! Bitte http://
n	RT @name: http:// 👁Rückzug!? SIE MUSS WEG! und mit Ihr n.einige Andere!1 ganzes Land in Schutt u.Asche!- dem Untergang geweiht,Das🇩🇪Volk verachtend,Verraten,belogen,betrogen,Grenzenlose Verbrecher,Kriminelle u.Terroristen in unsere Heimat gelassen usw... MERKELmussWEG! http://
n	RT @name: http:// 👁🇩🇪Wie k.1 Staat uns schützen,d. Absichtlich 1 Volk jegl.gefahren ausliefert? das ist u.kann kein Staat sein!Never! Einst an Eidesstatt :zum Wohle d.🇩🇪Volkes!?? wenn man d.das Volk übergeht,es ihrer Identität beraubt,sogar verleugnet! Staat?Reg.?ENDE! http://
n	RT @name: http:// 👆🏻...und die #Wahl🐑 dieser 35 Meter freut‘s!!?????😖 ...Baa wie konntet u.könnt ihr nur?😡 http://
n	RT @name: http:// 👆🏻die Ausrottung 🇩🇪 u.dem 🇩🇪Volk ist Euer Begehren u.Ziel! da brauchen WIR-Herr ZENSUR-Minister nicht lang drum herum zu lamentieren! Alles Schwachsinn! Ihr habt euch entschieden🇩🇪🔥🆘 WIR Haben uns entschieden!!Konsequenz: haben FERTIG mit Euch! http://
n	RT @name: http:// 👇🏻.. Wie passend ... http://
n	RT @name: http:// 👇🏻...🎄Markt in Bad Doberan...kurz Video ! ..Worte dazu erspar ich mir!!! http://
n	RT @name: http:// 👇🏻..die MieseMisere🇩🇪‘s- „ es ist Sicherer geworden in unserem Land“ 🗣 na aber sicher doch !!! 1 SCHANDE u.mehr als Maaslos-Verrückt so einen Blödsinn zu quatschen! http://
n	RT @name: http:// 👇🏻..und schon ist man Rechtsextremistisch -weil den eigenen Landsleuten geholfen wird! Geht’s noch ??? http://
n	RT @name: http:// 👇🏻🇩🇪🔥 mit meinen Worten-Deutsche in Deutschland zum #ABSCHUSS  frei gegeben! wobei ich d.Polizei keine Schuld geben kann, sondern der Verbrecherischen-Kriminellen Regierung,die s.aber Dafür a.n.die DIÄTEN erhöhen! #RAUSausdemREICHSTAG❗️..🇩🇪🔥❗️ http://
n	RT @name: http:// 👇🏻👁👆🏻Sackgasse!! Unbrauchbar!! http://
n	RT @name: http:// 🙈👇🏻... 🎄Markt -Stuttgart 👇🏻 http://
n	RT @name: http:// 🙈🙈😡😡 Unfassbar❗️❗️❗️ http://
p	"RT @name: Hurensohn:
- wer in Restaurant nicht 2 Personen essen alleine isst
- wer zu dumm zum googlen ist
- wer Zwiebeln in Döner packt
- wer englische Begriffe deutsch ausspricht und meint es sei richtig"
n	RT @name: Ich bin erschüttert, die Leute klatschen. http://
n	"RT @name: Ich bin ganz sicher, er findet in diesem Leben keine ruhige Nacht mehr; zu viel Unausgegorenes bewegt in seinem Hirn ""die Geister, die er rief""! http://"
