label	text
n	Kein Kommentar!
n	Auch wenn sie (vielleicht) in diesem Falle nicht schuldig wären, aber sie sind vorbestraft, fühlen sich noch stark und WIESO verdammt noch mal sind diese Maden immer noch in unserem Land ??? Wehe, das wäre die Tochter eines Politikers oder Richters gewesen.....
n	das gibt es nur in Deutschland. Hätte ich zu sagen, wären die ......
n	Das ist doch nicht deren ernst oder
p	Wir haben das moralische Recht, wir haben die Pflicht unserem Volk gegenüber, das zu tun, dieses Volk, das uns umbringen wollte, umzubringen.
n	deutschland entwickelt sich zurück
n	Alle Raus.
n	Alle Beteiligten sollen binnen 24 Stunden das Land verlassen!
n	vorwiegend Minderjährige....ich lach mich kaputt!Da ist kein einziger Minderjährig!Das wurde uns sugeriert von Idioten die ein Land in den Abgrund stürzen wollen!
n	Alle raus? Raus aus Deutschland?
	Dieser Vorfall war aber in Österreich, ihr Pappnasen!!
n	die polizei tut mir leid weil sie immer wieder wegen solche  versage zummm einsatz kommen müssen es gibt viel wichtigeres als mit solchen schmarotze zu tun  haben zu müssen solllen doch die ausländer behörde sich die scheiß schmartze kömmanen oder das zoll amt
n	Heimflug wäre angebracht - was ich denke DARF und KANN ich nicht schreiben .....
n	Gleich weg mit den.
n	Auf die wache und dann wieder ins Heim..  bis zur nächsten Schlägerei Vergewaltigung oder zum nächsten überfall
n	Einmal auffallen raus
n	Benehmen wie Tiere
p	Kampfhunde werden eingeschläfert und was ist mit denen
n	lass die sich  doch die Köpfe  einhaun - ich würde  da  als Polizist zu gucken und dann mit ´nem Besen  durch gehen Prolem gelöst !
n	Und raus mit ihnen.
n	Nach deutschen gesetzt soweit ich weis hat eine Straftat keine Auswirkungen auf dein Asyl verfahren , außer es kommt zu einer Strafe von 5 Jahren oder höher ! Nach 5 Jahren in Land bekommst du Automatik die Staatsangehörigkeit ! Also macht euch keine Sorgen sind eure Nachbar entweder in 5 Jahren oder morgen !
n	Wer sich nicht benehmen und anpassen kann hat hier nichts zu suchen.
n	Flüchtlinge? Wie lange muss man sich das noch anhören? Kriminelle Ausländer sind Trittbrettfahrer und schaden echten Flüchtlingen, meist ganze Famiien, unsäglich. Frau Merkel, kein anderer Regierungschef hat diesem Land so großen Schaden zugefügt wie Sie. Gehen Sie, gehen Sie einfach!
n	Wie oft denn noch...?
n	ich dachte immer er fand Deutschland so scheisse , ich denke mal da wo er ist bekommt er nichts in den arsch geblasen wie bei uns
n	ich begreife unsere gesetze nicht, wenn er trüke isz soll ihm die einreise für immer verwehrt bleiben, ist in den meisten zivilisierten ländern so, machst du als fremder scheiße, fliegst du. sollte er die deutsche staatsbürgerschaft haben, so solle man mal überprüfen welche gesetzeslücken, oder bestechungsmöglichkeiten bestanden, um ihm diese zugewähren. auf jedenfall hat der kerl in deutschland in freiheit nichts zusuchen. schade das wir so wenig legale möglichkeiten haben solche straftäter lebensland von uns fern zuhalten
n	hat den frau merkel auch eingeladen ??
n	Gar nicht lange fackeln, wer von den Ausländern kriminell wird, sofort raus, das ist das einzige was die verstehen
n	Mehmet heist jeder zweite von den verlogenen ,kriminellen Gesindel.In Syrien wird sollches Pack gebraucht hier nicht.
p	Weil in der Türkay muss er arbeiten, in Deutschland kriegt er alles von Stadt. Der Drecksau muss für immer da bleiben !
n	Wenn der Staat das zulässt, ist er nicht mehr zu retten.
n	Ich gedacht-DIESE THEMEN-schon längst erledigt,ODER ???????
n	bei der Masse die kommen spielt das keine Geige mehr
n	ich hätte einen Platz für ihn ( Mehmet ) in Bayern ( Dachau kann er platz nehmen , seuche Leute brauchen wir hier nicht in Deutschland)
n	der gehört für immer weg gesperrt
n	Ab nach Syrien... Du Pfeife!!!!!!!!!!!!!!!
n	Er dürfte überhaupt nicht mehr einreisen keine Frage auch wenn viele Straftaten  Verjährt sind und Vorbestraft bleibt vorbestraft  somit müsste sofort die Gesetze entsprechen schnell geändert werden dass sowas nicht mehr einreisen darf ob die Eltern hier Leben oder nicht   wurde oft genug verwarnt und angedroht damals sowas muss man nicht mehr in München haben
p	Wir haben schon genügen Moslemischen Dreck in Deutschland. Er soll bleiben wo er hin gehört.
n	Wollen wir wetten das er doch darf ? In diesem Land wundert mich nichrs mehr.
n	Krimminelle Volksvertreter ab nach Guatanamo, oder?
n	Gefährlicher Intensivtäter (16 Einbrüche, Rauschgifthandel) in Dresden aufgetaucht. Und jetzt auch noch das.
n	ohne Worte.....
n	Wie wir ja jüngst erfahren müssen,
n	bekommt die Ausländerkriminalität eine neue Qualität.
n	Köln hatte sich die Silvesternacht auch anders vorgestellt.
n	Sexuelle Übergriffe und Raub
n	mussten kölner Frauen und Gäste Kölns über sich ergehen lassen.
n	"Hier sollte sich die ""Mutter von Köln"" wie auch Mutter Angie gründlich überlegen,"
n	ob sie immer noch an ihrer euphorischen Willokmmenskultur festhalten möchten.
n	Der Bogen ist schon längst in unserem Lande überspannt, und der Geduldsfaden
n	der Deutschen Bürger wird bald reissen.
n	"Nicht ""bald"" erst bei uns sondern JETZT SCHON!"
n	Na super !!!!
n	"Das ""bald"" bei uns ist etwas für Blinde. Es ist schon lange so"
n	Das ist eben wie zu finstersten DDR-Zeiten- da wurde das Volk auch schon für Dumm verkauft und unwissend gehalten!  IM Erika kennt sich ja damit bestens aus!
n	Wenn man es verschweigt, dann ist es nie passiert. Warum lässt man sich sowas gefallen. Ich versteh das nicht.
n	traurige Gesellschafft
n	Man könnte meinen das die Merkel den Deutschen den Krieg erklärt hat und keiner will es war haben.....????????
n	Ey wo ist der Sinn die scheiße geheim zu halten ???
n	"ich muss aber einräumen das man sich dort SICHER und frei auf den strassen bewegen konnte ! es gab KEINE sogenannte ""NoGoAerea"" !"
n	"ich muss aber einräumen das man sich dort SICHER und frei auf den strassen bewegen konnte ! es gab KEINE sogenannte ""NoGoAerea"" !"
n	Alter Schwede ......ich dachte die sind die glücklichsten Europäer .....nach uns natürlich wir sind die Besten bei uns Hängt der Schampus  auf den Bäumen. ...
n	Genau solche Trottel wie bei uns...
p	DDR war dagegen Gold wert. Da waren um dich herum nur deutsche und keine teppichficker die dir wegen nichts auf den Sack gingen!
n	Gibt es denn wirklich noch welche die der Merckelchen glauben ?
n	Solche Vertuschungen sind bei uns auch Standard!
n	Ach jetzt werden da auch schon Maulkörbe verteilt ,das Volk muss ja auch nicht alles wissen !!!
n	Was soll da besser sein wir werden alle nur beschissen
n	ist doch bei uns nicht anders
n	Bei uns war das schon lange.....
n	wer hat sich da mit wem abgesprochen? und sein Volk belogen?
n	In der DDR gab es so etwas auch...man hat uns den Ausweis weggenommen und es gab eine Zuweisung in eine Gemeinde mit Arbeitsplatzbindung! Und dazu noch eine Liste in welche Städte wir nicht dürfen! Jetzt verherrlicht mal nicht die DDR.
n	und was ist ist bei uns?
n	Das hier ist auch sehenswert! https://www.youtube.com/watch?v=0VQ3vJAHqlY
n	Wie weit möchte ein Land kommen das seine eigene Bürger belügt.
n	Lieber 679357658a496b6a, lies was ich geschrieben habe und nicht was du gelesen haben willst! Ich meinte: die DDR sei DAGEGEN (also was hier gerade abgeht nämlich der mord an einer ganzen Kultur und Nation) Gold wert. Und ich kann gar keinen verraten haben weil ich Jahrgang 85 bin, du Klappstuhl!!!
	 
	 Vollidioten sind hier immer unterwegs echt ey.... *kopfschüttel*
n	Ist doch in Deutschland sehr wahrscheinlich genauso. :(
n	Das ist hier ja auch schon so, hat man ja spätestens an Neujahr gemerkt! Es ist so traurig, Europa ist beim Thema Flüchtling zu Nord Korea geworden!
p	Was lernen wir daraus? Stefan ist ein Vollidiot und Hakim ist ein Arschloch, könnten also Seite an Seite bei Pegida mitmarschieren
n	Worte eines Feigen, Morallosen groß Sprechers. Für sein Land und seine Freiheit zu kämpfen hat nichts mit Wehrpflicht zu tun
n	Ich habe den größten Respekt vor jedem Deutschen Soldaten. Während die einen wimmernd flüchten und Frauen und Kinder im Krieg zurück lassen beweisen die anderen Mut und Ehre
n	Jeder der für  Deutschland in diesen Krieg zieht ist nichts weiter als ein Mittäter und Kumpan des US-Terrorstaates
n	Tja die NVA hat niemals Soldaten ins Ausland geschickt, sie war im Gegensatz zur Bundeswehrmacht eine reine Verteidigungsarmee
n	Die wissen ja dinge über mich die nicht mal ich selbst wusste
n	In einem muss ich Nathan Frey jedoch Recht geben. Amerikanische intressen haben nichts mit Freiheit zu tun. Nur deutsche Berufssoldaten können sichs nicht aussuchen wo die kleine Schwester vom Obama ihre Leute hinschickt.
n	Traurig aber wahr...
n	"DIese ""Karikatur"" trifft es auf den Punkt !!!"
n	Sowas kann man doch nicht einfach ignorieren und ins lächerliche ziehen aber viele werden erst dann schlau, wenn es in irgend einer Art und Weise die eigene Familie trifft !!!
n	Sie nennen uns Egoisten, da wir ja niemanden helfen wollen und aufnehmen wollen aber andersrum ist denen sowas egal, wenn man sie mit solchen Worten, Beispielbildern etc. konfrontiert ..
n	UNFASSBAR !!!
n	So einen Müll posten und dann behaupten bei der Seite gäbe es keine Nazis!
	Schöne Patrioten seid ihr.
n	Ist das so Malte Kasper?
n	Wer freiwillig zur Bundeswehr geht und damit die Interessen der USA im Einsatz vertritt, hat das Prinzip nicht verstanden.
n	"So sollte es auch der letzte ,, gutsmensch"" hier verstehen können...."
n	....wenn Stefan das Kriegshandwerk lernt braucht er sich noch nicht wundern wenn er in den Krieg muss....
n	Dank der verträumten Politiker hahahahahahaahah
n	Ihr seid keine Patrioten, ihr seid Volldeppen!!!
n	so ist es
n	https://youtu.be/EZ1_MthkQis
	Sollte man sich mal ansehen und teilen ein Video aus den Neunzigern.
n	Schade das die Patrioten einen ehemaligen kinderstar für ihre Zwecke missbrauchen. Und waren die grabscher nicht aus Syrien sondern Nordafrika???!!!
n	Das findet sogar der Peter Lustig ....
n	ja der text ist für harz 4 leute! auch wenn ich in der schule keine helle leuchte war, sage ich hier das es primitv ist
n	Mit der Erklärung könnten es vielleicht auch die Gutmenschen kapieren :-)
n	nja, schaut euch mal die herkunft der täter an, sind alle aus sicheren ländern.. syrer habe ich jetzt keinen rausgelesen...^^ ein wahrer flüchtling, der vor dem krieg flieht, rennt A) net ohne familie weg und B) benimmt er sich in sicherheit so :)
n	Solche Texte sind widerlich, alle über einen Kamm zu scheren.
n	Ich lebe gerne in meinem Land. Aber ich bin entsetzt welche Töne und
n	Fortsetzung.......mittlerweile herrschen. Menschen aus den Kriegsländern brauchen unsere Hilfe. Spitzbuben brauchen wir nicht, weil wir selbst genug haben! Stimmungmache ist absolutes Gift und völlig unnötig.
n	Das ist das Problem! Ich bin dafür dass alle Nicht-Kriegsflüchtlinge sofort wieder zurück geschickt werden. Die, die sich hier nicht benehmen können oder kriminell werden, sofort raus! Aber die wirklichen Flüchtlinge aus Syrien mit denen in einen Topf zu werfen ist mehr als asozial!
n	51f889d8fff074cc ist aber so
n	Patriotismus ist sowas von dumm. Wieso denken alle, es sei ne riesen Leistung hier geboren zu sein? Ihr habt nur Gülle im Kopf und nix erreicht in eurem Leben.. Aber immerhin seit ihr von Geburt an total geil. Glückwunsch.
n	02c121df058b945c du oder?
n	Was für Mist wird hier verbreitet, unter dem Deckmantel des Patriotismus, und dann kommen die noch dazu die das gut finden.
n	Wieso sollen syrische Zivilisten Krieg führen müssen? Schwachsinn...
n	Diese ganze hetze geht mir auf den Sack . Wann peilt Ihr endlich das Ihr nicht alle in einen Topf stecken müsst . Letztens wurde ne Bank ausgeraubt . Alle dachten es sei ein Flüchtling  ohhhhhh und was kam raus ? Ein Alter Mann hat die Bank überfallen . ABER ERSTMAL ALLE BESCHULDIGEN. Wie immer .
n	auf den Punkt gebracht, armes Deutschland.
p	Daran sieht man das alle Hakims schwanzlutscher sind
n	@13a0a73dd6206713 ...Und warum hat der alte Mann die Bank überfallen? Weil unsere eigenen Leute schon verarmen und sich oft nicht mehr zu helfen wissen !!!!
n	Das finde ich zum kotzen ! ?Jetzt hetzt ihr schon die Kleinen auf ? Ziehen wir uns doch die nächste Nazigeneration auf !
n	Hihi.?
n	na dann passt doch alles, ihr habt alles richtig gemacht ihr politiker  ihr bahnhofsklatscher und teddybär werfer
n	Das man eines der größeren Vorbilder unserer Kindheit dazu missbraucht sowas zu vermitteln.. Wenn das schon sein muss dann zieht solche Leute nicht mit rein.
n	Ist was dran ! Armes Deutschland
n	Ich frage mich. Wie klein muß ein Hirn sein, um so einen Mist zu posten.
n	so sieht es aus!
n	Haben wir nicht inzwischen eine freiwilligen Armee???
n	Wie dumm ist der Stefan ?
n	Traurig  aber wahr.lassen Frau und Kinder  zurück. WAHRE HELDEN LASSEN  KEINE  FAMILIE  SCHUTZLOS  UU
n	Ist das hier ein Haufen feiger Salonnazis und frustrierter Fremdenhasser. Selber haben wir alle nicht einmal ansatzweise eine Ahnung, was es bedeutet wirklich Angst um sein Leben und das seiner Angehörigen zu haben.
	"Aber dafür kann sich ja man aus seiner deutsch-nationalistischen Komfortzone über Flüchtlinge echauffieren. Beim Anblick dieses widerlichen, zynischen Bildes, das nicht nur das Leid der Bürgerkriegsflüchtlinge und -opfer verhöhnt, sondern auch die Berufs-Soldaten der Bundeswehr für einen angeblichen ""Wir-gegen-euch"" Kulturkampf instrumentalisieren soll, wird mir schlecht."
	"Ich weiß nicht wer oder was sich diese Mär vom ""Patriotismus"" ausgedacht hat, aber in solchen Momenten schäme ich mich, dass unsere Sprache und Kultur von selbst erklärten ""Rettern des Okzidents"" für dermaßen abstoßende Mittel missbraucht wird."
n	80be4ead6c71bc03 Ja klingt komisch ist aber so haha
n	Geil ? wenn die Zielgruppe solcher Posts auf dem Niveau von 5 jährigen Kindern aufgehetzt wird, ist meine Welt noch in Ordnung?
n	677157b95bee1fda richtig kranke nazis hier alle!?
n	bei peter kann man noch was lernen
n	Der Peter ist echt lustig ??
n	Ihr großen Idioten...ES GIBT KEINE DEUTSCHE SOLDATEN IN SYRIEN! Und wo steht es fest, dass Flüchtlinge aus Syrien Frauen begrapschen? Man hat vor allem von Nordafrikaner geredet und Syrien, wenn ihr das nicht wisst, befindet sich nicht in Nordafrika....IHR seid Verbrecher, mit eurer Hetze, Hass und Ignoranz....ja, eure Ignoranz ist verbrecherisch.
n	c24d75ec8fb14bbb wir müssen des hakim zeigen ahahahahah
n	wer sich so eine scheiße nur ausdenkt.....
n	jeder kann sein schicksal für sich selbst entscheiden, versetz dich in die lage eines menschen im krisengebiet. du würdest auch flüchten
	
	und wer soldat wird ist eh selbst schuld
	
	denken und dann posten ist die methode
n	0487530cd0db9917 Nicht nur Die ANTIFA Lappen scheissen sich ein wenns rund geht ...
n	Nicht gaaanz richtig, denn Stefan hilft (ohne es zu wissen) mit Hakim's Land zu zerbomben und sorgt so dafür, dass auch der Rest von Hakim's Familie  flüchten muss.
	Frau und Kind von Hakim's haben die Flucht nicht überlebt. ..
n	"Nominierung zur größten Sch***, die ich heute bei FB ""lesen"" musste! Respekt!"
n	Undenkbar in der heutigen Zeit
n	Da durfte frau noch nicht mal waehlen oder studieren und was zu hause hinter verschlossenen tueren los war moecht ich lieber auch nicht wissen. Da war an frauenrechte kaum zu denken. Nein die zeit wuensch ich mir nicht zurueck!
n	da gab`s aber auch keine  Frau Angela MERKEL !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
n	Mußt ja nit über 100 Jahre zurück gehen. Reichen schon 10 Jahre.
	
	Bestes Beispiel Love - Parade in Berlin stellt euch mal das in der heutigen Zeit vor. Das wäre im Massaker geendet.
n	Wie sehr wünsche ich mir in dieser Zeit geboren worden zu sein..
n	1960/1970 war die Welt in Deutschland auch noch in Ordnung. Auf Youtube zbs. gibt es aufnahmen über München 1971.
n	Das ist nicht nur Berlin, da ist auch München und London mit dabei. Aber trotz alle dem war es bisher die schönste Zeit die diese Erde zu bieten hatte.
n	sind wir als frauen ehrlich ... um 1900 wollen wir auch nicht leben. es war eine männer bestimmte gesellschaft und die frauen waren für -kinder kirche, küche- da. aber unsere großmütter und selbs-noch unsere mütter haben uns das recht auf gleichstellung und selbstbetimmung erkämpft. ich habe also keine lust auf eine islamisierung in der wir frauen wieder keine rechte haben. wir frauen . flüchtlingen(es kommen ja nur junge männer..... wo bitte sind die frauen und kinder???)begrabschen zu lassen..... auch von keinem deutschen! ich hoffe inständig, dass sich endlich was bewegt und straffällig asylanten sofort und ohnen umschweife absgeschoben werden.
n	Zumindest gab's diese Politikversager nicht.
n	Also wenn ich mir das so ansehe wirkt es sehr beruhigend und zaubert ein lächeln ins Gesicht! So friedlich
n	Das stimmt, da war es noch friedlich auf den Straßen
n	Wie gerne hätte ich eine Zeit maschine und würde mich in die Zeit zurück reisen um zu gucken wie es früher war würde mich echt mal interessieren
n	Geiles Video . Geile Zeit... Die Leute haben nichts gehabt... Aber sie sahen glücklich aus und waren auf der strasse am spielen..
n	d3522b6087109c66 das waren noch Zeiten was ?
n	Man braucht gar nicht so lange zurück gehen, um festzustellen, was wir noch für eine schöne unbeschwerte Kindheit und Jugend hatten. Wir konnten uns noch so frei entfalten, wie wir es wollten und mussten keine Angst haben, das an jeder Strassenecke Gefahr auf uns lauert. Da gab es noch den lieben Polizisten von nebenan, der alle beim Namen kannte und auf seine Schäffchen aufpasste. Und das sagt euch jemand, der im seinerzeit schlimmsten Ghetto von Berlin aufgewachsen ist. Egal wie, uns wird Angst und Bange, wenn wir ernsthaft darüber nachdenken, welche Zukunft unseren Kinder in Deutschland bevorsteht.
n	das wahre deutschland  wie wunderschön
n	Ein Zukunftsziel...
n	Schon mal daran gedacht das das so ziemlich jede Generation sagt, meine oma sagt sie ist in der besten zeit aufgewachsen meine Mutter sagt ihre Jugend war die beste
	Usw usw
n	Sehr schöne Aufnahmen.
n	68bc3d21b22b7147 DAS waren noch gude zeiten eh :DDD
n	War da bei 30 Sekunden ne Ami Flage ??
p	Alles ist besser als diese Digitalisierte-Vegane-pädagogischwertvolle-Ischfickdeinemutta-Generation!
n	Berlin gab es auch mal in sauber? Und ganz ohne Dönerkaschemen, kaum zu glauben... ;-)
n	"Vor allem architektonisch ist Berlin heute eine Drecksstadt. Das liegt nur teilweise an der menscheverachtende Bauweise nach dem Krieg. Schon vor 45 hatten vielfach ""moderne"" Stadtplaner schöne, alter Architektur abgerissen."
	
	Ich habe mal vor Jahren dieses Video gemacht, in dem Berliner Plätze einst und jetzt verglichen werden. Da kommen mir jedesmal die Tränen:
	
	https://www.youtube.com/watch?v=t0DcrrSWcP0
n	Da gab es noch Anstand und Respekt!
n	und?
n	Man hat uns unserer Zukunft beraubt.... in Zukunft weniger Spaß.....am besten gar keinen mehr..... wenn es nach Merkel geht??
n	Das ist Kultur ?
n	Mit asylantischen Alibabas sicherlich !!!
	Deswegen, GRENZEN ZU !
n	Da bekam man auch noch eine ordentliche Strafe, wenn man sich an Frauen oder Kindern vergriffen hat.
n	Heute kriegen solche Täter höchstens im Knast, durch andere Insassen ihre gerechte Strafe. ?
n	Zucht und Ordnung!! ...ist Geschichte
n	Des war noch ne schöne zeit a9a9993c3bad8137
n	ein traum
n	Verrückt - genau den Film hab ich mir vorhin von der Festplatte angesehen. Was für ein Zufall. Total bewegend, die Bilder.
n	Scheissegal welche zeit ihr zurück drehen magt....sowas darf überhaupt nicht passieren
n	Steinzeit wäre auch geil gewesen. ein kürzeres Leben, aber eines in Freiheit.
n	Hab mal eine Frage. Ich empfinde die Flüchtlinge als eine Bedrohung, aber gleichzeitig empfinde ich eine starke Apathie gegenüber der Glorifizierung von Schwulen, Lesben und anderen Minderheiten, weil sowas ein Land nur schwächt und es der Lächerlichkeit preisgibt. Wo stehe ich? Meine es ernst und würde gern eine sachliche Diskussion führen.
n	Die Zeit der eigenen Jugend- und Kindertage ist immer die schönste. Das Leben war unbeschwehrt.
	Wir sollten zurück in die Vor Merkel Zeit, dann würde sie nie mehr Kanzlerin werden.
n	Deutschland war und ist ein Land der Extreme. Dichter und Denker oder Richter und Henker. Ein normales Dazwischen gibt es wohl nicht. Im Augenblick befürchtete ich, daß die übertrieben liberale Haltung ein Erstarken der Extreme begünstigt, übrigens rechts wie links ( und auch reich wie arm ).
	Einwanderung ja, aber streng kontrolliert , kriminelle Migranten sofort raus. Auch in Kriegsgebiete...
n	78c3a51a8da5e01b... Das ist doch deine Zeit, oder?
n	Kann mir einer das beantworten?
	
n	Hat jemand von Euch (Familie 2 Kinder) noch 40.000,- EUR am Jahresende zur Verfügung?
	
n	https://www.facebook.com/photo.php?fbid=1552097151772024&set=a.1423777074604033.1073741828.100009152636106&type=3&theater&notif_t=like
n	auf jeden fall kein multi kulti keine paralelgesellschaften keine stadtteile wo die polizei sich nicht rein traut keine ausländichen gebetshäuser keine grabscher zur jahreswende keine mit ausländer überfüllten schulklassen kein asylheim keine scheinasylanten
n	"Na ja, damals waren die heutigen Kulturbereicherer auch ""nur"" Haushaltshilfen oder Straßenkehrer...falls es überhaupt welche gab in Deutschland, zu der Zeit! Macht schon nachdenklich, wie die Welt sich verändert hat! ?"
n	Und es gab nicht wenige Nicht-Berliner vor Ort!
n	116 Jahren nach.... Islam
n	wunderschöner Film! (y)
n	Suuuuper! Kein Wahlrecht für Frauen, miserable Jobs, keine freie Berufswahl für Frauen usw. Wo seit ihr eigentlich stehen geblieben?
n	Ich mag zwar auch luftige Kleider und Miniröcke, aber diese Zeit hatte einen tollen Kleidungsstil! Orientiere mich ab und an selbst heute noch daran...
n	Schöne heile Welt
n	Das ist doch München!
n	Da laufen die Polizisten auch noch mit Säbel rum und würden einem die Hand abhacken ???✌️
n	Wo Deutschland noch Deutsch war
n	Ich hoffe doch das es Frau Petry besser macht , wenn es so sein sollte !!
n	"jaja...die gute alten zeiten sagt man....ich bin jetzt 51...dann waren ,, meine"" guten alten Zeiten wohl die vor der Angie M."
n	Das waren noch richtige Männer! Und dieser hiphop und Techno scheissdreck hat auch nicht die Ohren der Leute verpestet!!!
n	Da war die Zeit noch in Ordnung.
n	1900 da gab es noch das Große  Kaiserreich und es gab sehr sehr viele Deutsche. Die wurden so langsam vernichtet und Day Land wurde immer kleiner.  Die Poitik wurde weiter so geführt Day Deutsche immer weniger Kinder bekommen konnten. Und nun wird der Rest erledigt,  da Deutschland komplett von der Landkarte verschwindet.
n	Diese Kultur darf und kann man nicht kaputt machen.
n	Ich würde lieber in der Zeit Leben als in der jetzigen! Dort gab es noch ORDNUNG !
n	sehr interessant...?
n	Wollen wir unseren alten Kaiser Wilhelm wieder ham?
n	Halt! Moment! Um 1900 hatten Frauen in Deutschland keine Rechte! Weder ein Wahlrecht, noch eine Möglichkeit zu studieren, sie wurden verhairatet und waren zu Hause für Mann und Kinder da. Wenn eine Frau sich nicht so benahm, wie man es erwartete wurde sie wie viele tausende Leidensgefährtinen in psychatrischen Anstalten weggeschlossen! Lebenslang, ohne Chance auf Selbstbestimmung!
	Wenn ihr euch für Frauen einsetzt, dann bitte erst mal nachdeken und recherchieren!
n	Ihr Hast die Moslime, weil sie ihre Frauen keine Rechte gewähren und wünscht euch eine Zeit, in der es für eine west europäischer Frau genauso war.
n	"zu der zeit war deutschland kaum anders als saudi arabien, eine frau in leggins würde in den knast gesteckt zu der zeit. Schon witzig wie hier einige denken das diese zeit ""toll"" für eine frau gewesen is. Vom Mann beherrscht und zwangsverheiratet, sexueller Missbrauch danach normal. Das waren die zeiten vor 100 Jahren und nicht anders."
n	Da gab es noch keine Ausländer!
n	Ich will nicht mehr in dieser Zeit Leben, in der es nur noch fb und lauter horrornachrichten gibt. Früher was doch alles viel besser ?
n	41ab8cacb9c673ad   du  hättest   damals  in  der Zeit   ein auf  die  fresse   bekommen   wenn  DAS Wort  geil  ausgeprochen  hätte
n	"Das war ja auch, bevor überhaupt das erste Mal über eine ""Armlänge"" in Deutschland gesprochen wurde."
n	Sehnsucht nach der guten alten Zeit? Nee, nur nach Frieden!!!
n	Ja wir haben auch eine andere Wertschätzung und Kultur.
	"Unseren ""neuen evtl. neuen Bundesbürger"" haben das nicht?"
n	Deutsche Geschichte, sehr interessant.....
n	Damals war echt alles besser. Nur ein paar Beispiele: Um 1900 lag die Lebenserwartung bei durchschnittlich 46 Jahren lag, man starb an einer Blinddarmentzündung und jeder 5. Säugling überlebte den geburtsvorgang nicht. und Zuviel Smartphone würden die Kinder damals wohl als luxusproblem einschätzen, da sie 12 Stunden täglich ab einem Alter von 4 (!) Jahren in Textilfabriken arbeiteten. Na ja, wenn sie adelig waren, war's natürlich besser... Echt, hohler geht's nimmer...
n	ist Euch aufgefallen wie viele Uniformierte auf der Strasse zu sehen sind? und die Uniform wurde auch noch respektiert...kein Respekt -> dann gab es mit dem Knüppel auf die 12.
n	Schön und anscheinend ein ganz friedliches zusammen leben.
n	aber warewn echt kacke angezogen die leute ;)
n	Es ist Schön mal zurück zu schauen!!!
p	IHR WERDET FÜR JEDES VERFICKTE WORT BEZAHLEN! IHR SEID DIE WAHREN VOLKSVERRÄTER!
	
	Spätestens wenn wir Bahnhofwinker nicht mehr mit Teddybären werfen könnt ihr beweisen was für krasse Typen ihr seid, scheiß Stammtischpatrioten.
n	Das ist Propaganda für ungebildete... aber von den Kommentaren ist schon abzulesen das es schief geht und die meisten Ahnung von Geschichte haben
n	Ja, die gute alte Zeit: enge, feuchte Wohnungen, dunkle, unhygienische Hinterhöfe, verwahrloste, sich selbst überlassene Kinder ... http://www.spiegel.de/einestages/heinrich-zille-fotografien-aus-dem-alten-berlin-a-1013931.html
n	Vor 100 Jahren hatten wir Frauen auch oft nix zu lachen. Wir wurden von Männern belächelt. Egal wie geistreich wir waren. Wir sollten heiraten und Kinder kriegen.Der Ehemann hatte das sagen.Genau wie es heute noch in vielen muslimischen Gegenden ist.
n	Wir wollen unsern Kaiser Wilhelm wieder haben !
n	sensationelle Aufnahmen!!!!
n	Da gab es noch sitte und antstand
n	Köln 1945 - was war das schön. :-( Und nur weil Nazis und solche, die angeblich keine sein wollten, immer mehr Hass und Ängste gegen eine Minderheit verbreiteten. Manche Menschen so kleingeistig.... http://www.zeitzeugenboerse-koeln.de/uploads/pics/00012002.jbh_01.jpg?rand=950165664
n	Stimmt damals hatten die Frauen keine Rechte, deswegen mussten se auf nix achten...
n	Das is doch München?...Feldherrenhalle und Theatinerkirche
n	Zumindest bei 2:08
n	ah wie schön das war als es noch sowas wie Zucht und Ordnung aber vorallem MENSCHLICHKEIT und NÄCHSTENLIEBE gab....naja aus der TRAUM! Hurra diese Welt geht unter!!!!
n	sehr schön und der Marienplatz und der Odeonsplatz
n	Das ist wohl wahr‼️
	
	Da waren die Menschen noch Menschen - und keine Bestien ?
n	f9257e1993bc6a68
	 
n	 Das ist doch Quatsch ‼️‼️
	 
n	 Gewiss es gab mehr Strenge, mehr Indoktrination.....
	 
n	 Aber ich glaube unter dem Strich, war es dennoch die friedliche und schönere Zeit
	 
n	 Und wenn du Menschen jenseits der 90 fragst, wie das Leben früher war, so hörst du unisono:
	 
n	 Da war das Leben noch schön.
n	die guuute alte zeit!!!
n	Wenn man bedenkt was danach passiert ist, dann sehe ich das nicht so bunt und friedlich
n	Ihr Hast die Moslime, weil sie ihre Frauen keine Rechte gewähren und wünscht euch eine Zeit, in der es für eine west europäischer Frau genauso war.
n	Schöne Bilder!
n	Da gab es ja auch noch keine Einwanderer...............
n	Meine Großmutter hatte 7 Kinder , und so oft ich auch nachfragte ,, sie wollte es nicht ändern   Sie war glücklich , hatte keine Not , alles war friedlich und geschlagen wurde sie von Niemanden!!! Übrigens ; Minirock und Implantate gab es noch nicht , was es nicht gibt kann einen auch nicht fehlen!!!
n	Wow! Beeindruckend!
n	Wie weit damals schon entwickelt Wahnsinn !
